sample_id,object_id,object_category,task,visualization_html_path,point_cloud_path,multi_channel_mask_path,review_status,keep_sample,quality_after_review,sample_issue_type,sample_notes,gripper_decision,gripper_issue_type,gripper_notes,suction_decision,suction_issue_type,suction_notes,hook_decision,hook_issue_type,hook_notes,dexterous_hand_decision,dexterous_hand_issue_type,dexterous_hand_notes
3danet_full_dc4e9bf3eaadf2544c62bee40dcdc539_open_pull,3danet_full_dc4e9bf3eaadf2544c62bee40dcdc539,StorageFurniture,open_pull,processed/visualizations/html_v3/3danet_full_dc4e9bf3eaadf2544c62bee40dcdc539_open_pull.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_dc4e9bf3eaadf2544c62bee40dcdc539.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_dc4e9bf3eaadf2544c62bee40dcdc539_open_pull.npy,reject,no,weak,ambiguous_object,,,,,,,,,,,,,
3danet_full_58c878d494ecbbd62835d3f06aeb6e0_open_pull,3danet_full_58c878d494ecbbd62835d3f06aeb6e0,Refrigerator,open_pull,processed/visualizations/html_v3/3danet_full_58c878d494ecbbd62835d3f06aeb6e0_open_pull.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_58c878d494ecbbd62835d3f06aeb6e0.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_58c878d494ecbbd62835d3f06aeb6e0_open_pull.npy,needs_fix,yes,weak,none,,keep,none,,add_missing,missing_positive,把手部分的大平面区域可通过suction进行open操作,keep,none,可挂孔洞把手区域可使用hook进行open,keep,none,
3danet_full_c34718bd10e378186c6c61abcbd83e5a_pick_up,3danet_full_c34718bd10e378186c6c61abcbd83e5a,Mug,pick_up,processed/visualizations/html_v3/3danet_full_c34718bd10e378186c6c61abcbd83e5a_pick_up.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_c34718bd10e378186c6c61abcbd83e5a.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_c34718bd10e378186c6c61abcbd83e5a_pick_up.npy,needs_fix,yes,weak,none,,refine,under_label,把手区域能通过gripper进行pickup操作，不只有杯身可以使用gripper,add_missing,needs_geometry_rule,杯身部分的曲率需要验证查看能否通过suction进行pickup操作,add_missing,missing_positive,把手拉环部分的区域能使用hook进行勾起操作,refine,under_label,把手区域能通过gripper进行pickup操作，不只有杯身可以使用gripper
3danet_full_c34718bd10e378186c6c61abcbd83e5a_lift_carry,3danet_full_c34718bd10e378186c6c61abcbd83e5a,Mug,lift_carry,processed/visualizations/html_v3/3danet_full_c34718bd10e378186c6c61abcbd83e5a_lift_carry.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_c34718bd10e378186c6c61abcbd83e5a.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_c34718bd10e378186c6c61abcbd83e5a_lift_carry.npy,needs_fix,yes,weak,none,,refine,under_label,杯子把手部分能使用gripper进行lift_carry操作，当前没有进行标注,keep,none,,add_missing,missing_positive,杯子的有孔把手部分能被hook用来进行lift_carry操作,refine,under_label,杯子把手部分能使用dexterous_hand进行lift_carry操作，当前没有进行标注
3danet_full_f99e19b8c4a729353deb88581ea8417a_pick_up,3danet_full_f99e19b8c4a729353deb88581ea8417a,Mug,pick_up,processed/visualizations/html_v3/3danet_full_f99e19b8c4a729353deb88581ea8417a_pick_up.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f99e19b8c4a729353deb88581ea8417a.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f99e19b8c4a729353deb88581ea8417a_pick_up.npy,needs_fix,yes,weak,none,,keep,none,,add_missing,needs_geometry_rule,杯身部分的曲率应该通过验证后查看是否能使用suction进行pickup,add_missing,missing_positive,杯子把手部分属于可挂接的孔洞，能使用hook进行pickup操作,keep,none,
3danet_full_f99e19b8c4a729353deb88581ea8417a_lift_carry,3danet_full_f99e19b8c4a729353deb88581ea8417a,Mug,lift_carry,processed/visualizations/html_v3/3danet_full_f99e19b8c4a729353deb88581ea8417a_lift_carry.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f99e19b8c4a729353deb88581ea8417a.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f99e19b8c4a729353deb88581ea8417a_lift_carry.npy,needs_fix,yes,weak,none,,keep,none,,keep,none,,add_missing,missing_positive,杯子的有孔把手部分能使用hook对杯子进行lift_carry操作,keep,none,
3danet_full_f6517b0bad40b72d36871b478a4420ba_press_push,3danet_full_f6517b0bad40b72d36871b478a4420ba,Keyboard,press_push,processed/visualizations/html_v3/3danet_full_f6517b0bad40b72d36871b478a4420ba_press_push.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f6517b0bad40b72d36871b478a4420ba.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f6517b0bad40b72d36871b478a4420ba_press_push.npy,needs_fix,yes,weak,none,,keep,none,,keep,none,,keep,none,,refine,under_label,对于keyboard，正面的所有按键部分都是dexterous_hand可以press_push的部分
3danet_full_687f75ed3da5e7c5b876ea42ec76b6cd_press_push,3danet_full_687f75ed3da5e7c5b876ea42ec76b6cd,Keyboard,press_push,processed/visualizations/html_v3/3danet_full_687f75ed3da5e7c5b876ea42ec76b6cd_press_push.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_687f75ed3da5e7c5b876ea42ec76b6cd.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_687f75ed3da5e7c5b876ea42ec76b6cd_press_push.npy,needs_fix,yes,weak,none,,keep,none,,keep,none,,keep,none,,refine,under_label,对于keyboard来说，正面的所有按键部分都是可以进行press_push的区域
3danet_full_bbc685f481cee10f668ae11a7db5e82a_pick_up,3danet_full_bbc685f481cee10f668ae11a7db5e82a,Table,pick_up,processed/visualizations/html_v3/3danet_full_bbc685f481cee10f668ae11a7db5e82a_pick_up.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_bbc685f481cee10f668ae11a7db5e82a.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_bbc685f481cee10f668ae11a7db5e82a_pick_up.npy,reject,no,weak,task_mismatch,,disable,executor_mismatch,,disable,executor_mismatch,,disable,executor_mismatch,,disable,executor_mismatch,
3danet_full_bbc685f481cee10f668ae11a7db5e82a_lift_carry,3danet_full_bbc685f481cee10f668ae11a7db5e82a,Table,lift_carry,processed/visualizations/html_v3/3danet_full_bbc685f481cee10f668ae11a7db5e82a_lift_carry.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_bbc685f481cee10f668ae11a7db5e82a.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_bbc685f481cee10f668ae11a7db5e82a_lift_carry.npy,reject,no,weak,task_mismatch,,,,,,,,,,,,,
3danet_full_7937479e527b07dd19fb4103277a6b93_pick_up,3danet_full_7937479e527b07dd19fb4103277a6b93,Table,pick_up,processed/visualizations/html_v3/3danet_full_7937479e527b07dd19fb4103277a6b93_pick_up.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_7937479e527b07dd19fb4103277a6b93.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_7937479e527b07dd19fb4103277a6b93_pick_up.npy,reject,no,weak,task_mismatch,,not_applicable,executor_mismatch,,disable,executor_mismatch,,disable,executor_mismatch,,disable,executor_mismatch,
3danet_full_7937479e527b07dd19fb4103277a6b93_lift_carry,3danet_full_7937479e527b07dd19fb4103277a6b93,Table,lift_carry,processed/visualizations/html_v3/3danet_full_7937479e527b07dd19fb4103277a6b93_lift_carry.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_7937479e527b07dd19fb4103277a6b93.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_7937479e527b07dd19fb4103277a6b93_lift_carry.npy,checked,yes,weak,none,,keep,none,,keep,none,,keep,none,,keep,none,
3danet_full_babeae78f6d2412a15dd7d7985e749c1_pick_up,3danet_full_babeae78f6d2412a15dd7d7985e749c1,Bed,pick_up,processed/visualizations/html_v3/3danet_full_babeae78f6d2412a15dd7d7985e749c1_pick_up.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_babeae78f6d2412a15dd7d7985e749c1.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_babeae78f6d2412a15dd7d7985e749c1_pick_up.npy,reject,no,weak,task_mismatch,,,,,,,,,,,,,
3danet_full_babeae78f6d2412a15dd7d7985e749c1_lift_carry,3danet_full_babeae78f6d2412a15dd7d7985e749c1,Bed,lift_carry,processed/visualizations/html_v3/3danet_full_babeae78f6d2412a15dd7d7985e749c1_lift_carry.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_babeae78f6d2412a15dd7d7985e749c1.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_babeae78f6d2412a15dd7d7985e749c1_lift_carry.npy,reject,no,weak,task_mismatch,,,,,,,,,,,,,
3danet_full_447c50e658d729f044ededc21cf0e35e_pick_up,3danet_full_447c50e658d729f044ededc21cf0e35e,Bed,pick_up,processed/visualizations/html_v3/3danet_full_447c50e658d729f044ededc21cf0e35e_pick_up.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_447c50e658d729f044ededc21cf0e35e.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_447c50e658d729f044ededc21cf0e35e_pick_up.npy,reject,no,weak,task_mismatch,,,,,,,,,,,,,
3danet_full_447c50e658d729f044ededc21cf0e35e_lift_carry,3danet_full_447c50e658d729f044ededc21cf0e35e,Bed,lift_carry,processed/visualizations/html_v3/3danet_full_447c50e658d729f044ededc21cf0e35e_lift_carry.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_447c50e658d729f044ededc21cf0e35e.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_447c50e658d729f044ededc21cf0e35e_lift_carry.npy,reject,no,weak,task_mismatch,,,,,,,,,,,,,
3danet_full_f72dc1ffeae0168aadcfd37206a0d18b_press_push,3danet_full_f72dc1ffeae0168aadcfd37206a0d18b,Laptop,press_push,processed/visualizations/html_v3/3danet_full_f72dc1ffeae0168aadcfd37206a0d18b_press_push.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f72dc1ffeae0168aadcfd37206a0d18b.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_f72dc1ffeae0168aadcfd37206a0d18b_press_push.npy,needs_fix,yes,weak,none,,keep,none,,keep,none,,keep,none,,refine,under_label,对于laptop，电脑上的所有按键都应是可以press_push的区域，当前标注区域偏少
3danet_full_d786b5399e27a82978522e02fc65059_press_push,3danet_full_d786b5399e27a82978522e02fc65059,Laptop,press_push,processed/visualizations/html_v3/3danet_full_d786b5399e27a82978522e02fc65059_press_push.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_d786b5399e27a82978522e02fc65059.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_d786b5399e27a82978522e02fc65059_press_push.npy,needs_fix,yes,weak,none,,keep,none,,keep,none,,keep,none,,refine,under_label,对于laptop，电脑上的所有按键都应是可以press_push的区域，当前标注区域偏少
3danet_full_200b3f3d859c8677ad5067eac75a07f7_open_pull,3danet_full_200b3f3d859c8677ad5067eac75a07f7,TrashCan,open_pull,processed/visualizations/html_v3/3danet_full_200b3f3d859c8677ad5067eac75a07f7_open_pull.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_200b3f3d859c8677ad5067eac75a07f7.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_200b3f3d859c8677ad5067eac75a07f7_open_pull.npy,reject,no,weak,task_mismatch,,,,,,,,,,,,,
3danet_full_c2d6739b7d2b6cadad5067eac75a07f7_open_pull,3danet_full_c2d6739b7d2b6cadad5067eac75a07f7,TrashCan,open_pull,processed/visualizations/html_v3/3danet_full_c2d6739b7d2b6cadad5067eac75a07f7_open_pull.html,processed/points/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_c2d6739b7d2b6cadad5067eac75a07f7.npy,processed/masks/3d_affordancenet_full_shape_val_balanced_v3/3danet_full_c2d6739b7d2b6cadad5067eac75a07f7_open_pull.npy,reject,no,weak,task_mismatch,,,,,,,,,,,,,
